===================AUTOTOOL HUB EXPORT LOG 2025_01_20_17_26_01================

[2025-01-20 17:26:01][SenyaHime]Running on ws://192.168.0.107:5700
[2025-01-20 17:26:02][websocketserver]New connection from ('192.168.0.150', 44192)
[2025-01-20 17:26:02][heartbeat]heartbeat lunched
[2025-01-20 17:26:02][heartbeat]try send ping
[2025-01-20 17:26:02][websocketserver]Received: {"time":1737365160,"self_id":3827617422,"post_type":"meta_event","meta_event_type":"lifecycle","sub_type":"connect","status":{"self":{"platform":"qq","user_id":3827617422},"online":true,"good":true,"qq.status":"正常"},"interval":15000}

[2025-01-20 17:26:07][heartbeat]try send ping
[2025-01-20 17:26:12][heartbeat]try send ping
[2025-01-20 17:26:17][heartbeat]try send ping
[2025-01-20 17:26:22][heartbeat]try send ping
[2025-01-20 17:26:27][heartbeat]try send ping
[2025-01-20 17:26:32][heartbeat]try send ping
[2025-01-20 17:26:37][heartbeat]try send ping
[2025-01-20 17:26:42][heartbeat]try send ping
[2025-01-20 17:26:47][heartbeat]try send ping
[2025-01-20 17:26:52][heartbeat]try send ping
[2025-01-20 17:26:57][heartbeat]try send ping
[2025-01-20 17:27:02][heartbeat]try send ping
[2025-01-20 17:27:07][heartbeat]try send ping
[2025-01-20 17:27:12][heartbeat]try send ping
[2025-01-20 17:27:17][heartbeat]try send ping
[2025-01-20 17:27:22][heartbeat]try send ping
[2025-01-20 17:27:27][heartbeat]try send ping
[2025-01-20 17:27:32][heartbeat]try send ping
[2025-01-20 17:27:37][heartbeat]try send ping
[2025-01-20 17:27:42][heartbeat]try send ping
[2025-01-20 17:27:47][heartbeat]try send ping
[2025-01-20 17:27:52][heartbeat]try send ping
[2025-01-20 17:27:57][heartbeat]try send ping
[2025-01-20 17:28:02][heartbeat]try send ping
[2025-01-20 17:28:07][heartbeat]try send ping
[2025-01-20 17:28:12][heartbeat]try send ping
[2025-01-20 17:28:17][heartbeat]try send ping
[2025-01-20 17:28:22][heartbeat]try send ping
[2025-01-20 17:28:27][heartbeat]try send ping
[2025-01-20 17:28:32][heartbeat]try send ping
[2025-01-20 17:28:37][heartbeat]try send ping
[2025-01-20 17:28:42][heartbeat]try send ping
[2025-01-20 17:28:47][heartbeat]try send ping
[2025-01-20 17:28:52][heartbeat]try send ping
[2025-01-20 17:28:57][heartbeat]try send ping
[2025-01-20 17:29:02][heartbeat]try send ping
[2025-01-20 17:29:07][heartbeat]try send ping
[2025-01-20 17:29:12][heartbeat]try send ping
[2025-01-20 17:29:17][heartbeat]try send ping
[2025-01-20 17:29:22][heartbeat]try send ping
[2025-01-20 17:29:28][heartbeat]try send ping
[2025-01-20 17:29:33][heartbeat]try send ping
[2025-01-20 17:29:38][heartbeat]try send ping
[2025-01-20 17:29:43][heartbeat]try send ping
[2025-01-20 17:29:43][websocketserver]Received: {"time":1737365380,"self_id":3827617422,"post_type":"message","message_type":"private","sub_type":"friend","message_id":1491587448,"target_id":395642104,"peer_id":3827617422,"user_id":395642104,"message":[{"data":{"text":"测试"},"type":"text"}],"raw_message":"测试","font":0,"sender":{"user_id":395642104,"nickname":"白渊","card":"","role":"member","title":"","level":""}}

[2025-01-20 17:29:43][websocketserver]Posed: {'action': 'send_private_msg', 'echo': ' ', 'params': {'access_token': 'guzhaoqiaoqiaoa1', 'user_id': 395642104, 'message': [{'type': 'reply', 'data': {'id': 1491587448}}, {'type': 'text', 'data': {'text': '对不起主人, 暂不支持直接聊天哦'}}]}}

[2025-01-20 17:29:44][websocketserver]Received: {"status":"ok","retcode":0,"data":{"message_id":567762242,"time":1737365381},"echo":" "}

[2025-01-20 17:29:48][heartbeat]try send ping
[2025-01-20 17:29:53][heartbeat]try send ping
[2025-01-20 17:29:58][heartbeat]try send ping
[2025-01-20 17:30:03][heartbeat]try send ping
[2025-01-20 17:30:08][heartbeat]try send ping
[2025-01-20 17:30:13][heartbeat]try send ping
[2025-01-20 17:30:18][heartbeat]try send ping
[2025-01-20 17:30:23][heartbeat]try send ping
[2025-01-20 17:30:28][heartbeat]try send ping
[2025-01-20 17:30:33][heartbeat]try send ping
[2025-01-20 17:30:38][heartbeat]try send ping
[2025-01-20 17:30:43][heartbeat]try send ping
[2025-01-20 17:30:48][heartbeat]try send ping
[2025-01-20 17:30:53][heartbeat]try send ping
[2025-01-20 17:30:58][heartbeat]try send ping
[2025-01-20 17:31:03][heartbeat]try send ping
[2025-01-20 17:31:08][heartbeat]try send ping
[2025-01-20 17:31:13][heartbeat]try send ping
[2025-01-20 17:31:18][heartbeat]try send ping
[2025-01-20 17:31:23][heartbeat]try send ping
[2025-01-20 17:31:28][heartbeat]try send ping
[2025-01-20 17:31:33][heartbeat]try send ping
[2025-01-20 17:31:38][heartbeat]try send ping
[2025-01-20 17:31:43][heartbeat]try send ping
[2025-01-20 17:31:48][heartbeat]try send ping
[2025-01-20 17:31:53][heartbeat]try send ping
[2025-01-20 17:31:58][heartbeat]try send ping
[2025-01-20 17:32:03][heartbeat]try send ping
[2025-01-20 17:32:08][heartbeat]try send ping
[2025-01-20 17:32:13][heartbeat]try send ping
[2025-01-20 17:32:18][heartbeat]try send ping
[2025-01-20 17:32:23][heartbeat]try send ping
[2025-01-20 17:32:28][heartbeat]try send ping
[2025-01-20 17:32:33][heartbeat]try send ping
[2025-01-20 17:32:38][heartbeat]try send ping
[2025-01-20 17:32:43][heartbeat]try send ping
[2025-01-20 17:32:48][heartbeat]try send ping
[2025-01-20 17:32:53][heartbeat]try send ping
[2025-01-20 17:32:58][heartbeat]try send ping
[2025-01-20 17:33:03][heartbeat]try send ping
[2025-01-20 17:33:08][heartbeat]try send ping
[2025-01-20 17:33:13][heartbeat]try send ping
[2025-01-20 17:33:18][heartbeat]try send ping
[2025-01-20 17:33:23][heartbeat]try send ping
[2025-01-20 17:33:28][heartbeat]try send ping
[2025-01-20 17:33:33][heartbeat]try send ping
[2025-01-20 17:33:38][heartbeat]try send ping
[2025-01-20 17:33:43][heartbeat]try send ping
[2025-01-20 17:33:48][heartbeat]try send ping
[2025-01-20 17:33:53][heartbeat]try send ping
[2025-01-20 17:33:58][heartbeat]try send ping
[2025-01-20 17:34:03][heartbeat]try send ping
[2025-01-20 17:34:08][heartbeat]try send ping
[2025-01-20 17:34:13][heartbeat]try send ping
[2025-01-20 17:34:18][heartbeat]try send ping
[2025-01-20 17:34:23][heartbeat]try send ping
[2025-01-20 17:34:28][heartbeat]try send ping
[2025-01-20 17:34:33][heartbeat]try send ping
[2025-01-20 17:34:38][heartbeat]try send ping
[2025-01-20 17:34:43][heartbeat]try send ping
[2025-01-20 17:34:48][heartbeat]try send ping
[2025-01-20 17:34:53][heartbeat]try send ping
[2025-01-20 17:34:58][heartbeat]try send ping
[2025-01-20 17:35:03][heartbeat]try send ping
[2025-01-20 17:35:08][heartbeat]try send ping
[2025-01-20 17:35:13][heartbeat]try send ping
[2025-01-20 17:35:18][heartbeat]try send ping
[2025-01-20 17:35:23][heartbeat]try send ping
[2025-01-20 17:35:28][heartbeat]try send ping
[2025-01-20 17:35:33][heartbeat]try send ping
[2025-01-20 17:35:38][heartbeat]try send ping
[2025-01-20 17:35:43][heartbeat]try send ping
[2025-01-20 17:35:48][heartbeat]try send ping
[2025-01-20 17:35:53][heartbeat]try send ping
[2025-01-20 17:35:58][heartbeat]try send ping
[2025-01-20 17:36:03][heartbeat]try send ping
[2025-01-20 17:36:08][heartbeat]try send ping
[2025-01-20 17:36:13][heartbeat]try send ping
[2025-01-20 17:36:18][heartbeat]try send ping
[2025-01-20 17:36:23][heartbeat]try send ping
[2025-01-20 17:36:28][heartbeat]try send ping
[2025-01-20 17:36:33][heartbeat]try send ping
[2025-01-20 17:36:38][heartbeat]try send ping
[2025-01-20 17:36:43][heartbeat]try send ping
[2025-01-20 17:36:48][heartbeat]try send ping
[2025-01-20 17:36:53][heartbeat]try send ping
[2025-01-20 17:36:58][heartbeat]try send ping
[2025-01-20 17:37:02][websocketserver]Received: {"time":1737365818,"self_id":3827617422,"post_type":"message","message_type":"private","sub_type":"friend","message_id":1832374381,"target_id":395642104,"peer_id":3827617422,"user_id":395642104,"message":[{"data":{"text":"测试"},"type":"text"}],"raw_message":"测试","font":0,"sender":{"user_id":395642104,"nickname":"白渊","card":"","role":"member","title":"","level":""}}

[2025-01-20 17:37:02][websocketserver]Posed: {'action': 'send_private_msg', 'echo': ' ', 'params': {'access_token': 'guzhaoqiaoqiaoa1', 'user_id': 395642104, 'message': [{'type': 'reply', 'data': {'id': 1832374381}}, {'type': 'text', 'data': {'text': '对不起主人, 暂不支持直接聊天哦'}}]}}

[2025-01-20 17:37:02][websocketserver]Received: {"status":"ok","retcode":0,"data":{"message_id":443214391,"time":1737365819},"echo":" "}

[2025-01-20 17:37:03][heartbeat]try send ping
[2025-01-20 17:37:08][heartbeat]try send ping
[2025-01-20 17:37:13][heartbeat]try send ping
[2025-01-20 17:37:18][heartbeat]try send ping
[2025-01-20 17:37:23][heartbeat]try send ping
[2025-01-20 17:37:28][heartbeat]try send ping
[2025-01-20 17:37:33][heartbeat]try send ping
[2025-01-20 17:37:38][heartbeat]try send ping
[2025-01-20 17:37:43][heartbeat]try send ping
[2025-01-20 17:37:48][heartbeat]try send ping
[2025-01-20 17:37:53][heartbeat]try send ping
[2025-01-20 17:37:58][heartbeat]try send ping
[2025-01-20 17:38:04][heartbeat]try send ping
[2025-01-20 17:38:09][heartbeat]try send ping
[2025-01-20 17:38:14][heartbeat]try send ping
[2025-01-20 17:38:19][heartbeat]try send ping
[2025-01-20 17:38:24][heartbeat]try send ping
[2025-01-20 17:38:27][websocketserver]Received: {"time":1737365904,"self_id":3827617422,"post_type":"message","message_type":"group","sub_type":"normal","message_id":1250273687,"group_id":721950485,"peer_id":3827617422,"user_id":395642104,"message":[{"data":{"text":"GPT给的逆天异步函数代码看得我头晕晕的"},"type":"text"}],"raw_message":"GPT给的逆天异步函数代码看得我头晕晕的","font":0,"sender":{"user_id":395642104,"nickname":"い愿此愛永恆࿐ེ","card":"万里挑一大非酋肝帝","role":"admin","title":"","level":""}}

[2025-01-20 17:38:29][heartbeat]try send ping
[2025-01-20 17:38:34][heartbeat]try send ping
[2025-01-20 17:38:39][heartbeat]try send ping
[2025-01-20 17:38:44][heartbeat]try send ping
[2025-01-20 17:38:49][heartbeat]try send ping
[2025-01-20 17:38:54][heartbeat]try send ping
[2025-01-20 17:38:59][heartbeat]try send ping
[2025-01-20 17:39:04][heartbeat]try send ping
[2025-01-20 17:39:09][heartbeat]try send ping
[2025-01-20 17:39:14][heartbeat]try send ping
[2025-01-20 17:39:19][heartbeat]try send ping
[2025-01-20 17:39:24][heartbeat]try send ping
[2025-01-20 17:39:29][heartbeat]try send ping
[2025-01-20 17:39:34][heartbeat]try send ping
[2025-01-20 17:39:39][heartbeat]try send ping
[2025-01-20 17:39:44][heartbeat]try send ping
[2025-01-20 17:39:49][heartbeat]try send ping
[2025-01-20 17:39:53][SenyaHime]Server stopped.
